p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
9.64229878780985e-203	1.93432779583838	0.997	0.809	7.7533724552779e-199	1	ARHGDIB
6.38137376038408e-169	2.00519604596671	0.992	0.725	5.13126264072484e-165	1	GMFG
9.14249962366667e-159	-0.817790110239423	0.992	1	7.35148394739037e-155	1	RAN
3.19350888226544e-157	1.74763946189147	0.97	0.711	2.56790049222964e-153	1	CD27
1.24829179328647e-152	2.12425755236486	0.913	0.479	1.00375143098165e-148	1	CCDC109B
6.72025146270463e-147	1.71063668500914	0.982	0.754	5.4037542011608e-143	1	ITM2B
1.61530027661086e-145	-1.06206078824065	0.963	0.999	1.29886295242279e-141	1	CYCS
8.03844203086213e-145	-1.24476564661084	0.807	0.984	6.46371123701624e-141	1	NOP16
2.8757413796563e-143	-0.920637749170621	0.997	0.999	2.31238364338163e-139	1	NCL
5.84060539364151e-143	0.921761849584092	0.998	0.998	4.69643079702713e-139	1	MYL6
2.52658622140166e-141	1.54373737954809	0.965	0.714	2.03162798062907e-137	1	LCK
8.96437733847252e-140	1.94694731328807	0.951	0.575	7.20825581786575e-136	1	LEF1
1.09769798651483e-137	1.24697775484428	1	0.999	8.82658950956577e-134	1	TMSB4X
9.5723608489823e-136	-0.806689562289542	1	1	7.69713535866666e-132	1	NPM1
2.66406720253425e-134	2.73959032151603	0.599	0.116	2.14217643755779e-130	1	MAL
1.76420488164201e-133	-2.12219248334702	0.755	0.962	1.41859714532834e-129	1	NAMPT
4.90814628770614e-133	-1.41731535743152	0.812	0.976	3.94664042994451e-129	1	NOLC1
5.12647914090554e-133	3.11907365816369	0.631	0.148	4.12220187720215e-129	1	MYB
1.245938726474e-132	1.42244674327236	0.971	0.788	1.00185932995774e-128	1	LAMTOR4
1.9200030400995e-132	3.78512092653873	0.49	0.069	1.54387444454401e-128	1	MT1F
4.31939005526754e-161	5.39794328641454	0.541	0.066	3.47322154344063e-157	3	IL4I1
5.12677073176416e-159	2.05555928837419	0.973	0.584	4.12243634541156e-155	3	TNFRSF18
8.93073892321906e-150	3.1397823387876	0.787	0.256	7.18120716816045e-146	3	ANXA2
7.76237610532402e-115	1.97173851525865	0.93	0.594	6.24172662629104e-111	3	ID2
9.24666552605713e-112	2.01276016530628	0.807	0.326	7.43524374950254e-108	3	CD58
5.87697334501305e-110	4.8274203403206	0.434	0.066	4.72567426672499e-106	3	CTSH
2.55198374206019e-104	1.28427414426015	0.518	0.096	2.0520501269906e-100	3	CSF2
8.29978145939054e-102	2.16699090513246	0.766	0.312	6.67385427149593e-98	3	SH2D1A
7.89700154770211e-100	4.4680376002269	0.414	0.065	6.34997894450727e-96	3	LGALS3
3.2128566693192e-98	4.50210778555698	0.27	0.013	2.58345804779957e-94	3	CCR6
1.08174938212385e-92	0.540204921986221	1	1	8.69834678165789e-89	3	B2M
9.20911305660065e-92	2.58318609412515	0.398	0.061	7.40504780881258e-88	3	MAF
5.8765916614975e-89	-2.0553521729548	0.494	0.844	4.72536735501014e-85	3	CD27
1.81746233199018e-87	1.47934525563907	0.967	0.798	1.4614214611533e-83	3	TNFRSF4
1.37597020372394e-86	1.82681927065666	0.906	0.588	1.10641764081442e-82	3	S100A11
2.10564319091297e-82	2.2575666466595	0.426	0.082	1.69314768981312e-78	3	FAM129A
1.26983009432331e-79	2.29664095252918	0.682	0.285	1.02107037884538e-75	3	FURIN
