p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.87011434946155e-120	1.46556254587851	0.997	0.848	2.30785894840203e-116	0	HSP90AB1
1.09680618966251e-118	2.10299469928374	0.975	0.542	8.81941857107626e-115	0	NME1
4.13728762773899e-103	1.3557933464399	0.997	0.924	3.32679298146492e-99	0	NPM1
1.82965751465523e-101	1.26684955881804	0.995	0.914	1.47122760753427e-97	0	RAN
8.73102174447937e-101	2.20796531881074	0.934	0.405	7.02061458473586e-97	0	NOP16
1.54458033236806e-100	2.01272342711457	0.968	0.6	1.24199704525716e-96	0	HSPD1
8.86566086117974e-99	1.69169329763475	0.98	0.624	7.12887789847463e-95	0	C1QBP
4.42259183882197e-97	1.32703095918651	0.998	0.928	3.55620609759675e-93	0	NCL
1.10587946067384e-89	2.33421270110625	0.905	0.343	8.89237674327838e-86	0	BCL2L1
1.97177279185562e-89	-0.544317391326397	1	1	1.58550250193111e-85	0	B2M
2.18063161926441e-87	-1.12731817728626	0.958	0.996	1.75344588505052e-83	0	ARHGDIB
6.75967696365205e-87	1.36730720719834	0.997	0.774	5.43545624647261e-83	0	HSPE1
4.31321202702825e-85	2.06781988408001	0.912	0.394	3.46825379093342e-81	0	NOLC1
4.75618916734032e-83	-1.05170632831708	0.978	1	3.82445170945835e-79	0	SH3BGRL3
2.42200590488113e-81	1.64129583681819	0.942	0.637	1.94753494811491e-77	0	SRM
2.5116994114907e-81	-1.05978774316204	0.998	1	2.01965749677967e-77	0	TMSB10
2.68503428748278e-81	2.63046478866739	0.809	0.259	2.15903607056491e-77	0	SLC43A3
1.92394018461239e-80	1.31637590292992	0.973	0.69	1.54704030244682e-76	0	NHP2
1.17204916646046e-79	1.50830243165292	0.995	0.741	9.42444734750854e-76	0	TNFRSF9
2.80535184528302e-79	2.1477450560539	0.87	0.331	2.25578341879208e-75	0	PAICS
4.18517358901197e-80	-3.29937496936155	0.429	0.993	3.36529808292453e-76	2	TNFRSF4
1.05244019814763e-78	-2.65267745433378	0.6	0.99	8.46267163330511e-75	2	PKM
4.41503790955386e-78	-1.87070613129053	0.771	0.999	3.55013198307226e-74	2	ENO1
8.4826860016237e-78	-2.53938450903201	0.6	0.993	6.82092781390562e-74	2	HSP90AB1
6.61179174516556e-73	-3.18413361850291	0.394	0.975	5.31654174228762e-69	2	TNFRSF9
1.06098295660856e-72	-2.06284491828231	0.846	0.998	8.53136395408944e-69	2	ACTG1
1.78157810620774e-72	-2.46404293007154	0.411	0.991	1.43256695520164e-68	2	TNFRSF18
9.46317862704645e-72	1.55175525686912	1	1	7.60934193400805e-68	2	RPS27
4.71208625937013e-70	-3.90607145868267	0.143	0.904	3.78898856115952e-66	2	NME1
2.11007962726285e-69	-1.76905160890952	0.897	0.998	1.69671502828206e-65	2	HSPA8
4.11078374628029e-66	3.28291148752754	0.806	0.26	3.30548121038398e-62	2	YPEL3
5.52772473979608e-66	-1.28076672187065	1	1	4.44484346327003e-62	2	ACTB
3.2357466973838e-64	-4.95717581474703	0.12	0.864	2.60186391936632e-60	2	LTA
1.06661789489863e-62	-1.871126758188	0.817	0.996	8.57667449287985e-59	2	HSP90AA1
2.96296591184997e-62	-2.22197177801465	0.451	0.982	2.38252088971856e-58	2	HSPE1
1.0171766739185e-60	-3.18577261831455	0.223	0.908	8.17911763497869e-57	2	TYMP
1.48582688462161e-60	-1.67981263657557	0.903	0.996	1.19475339792423e-56	2	GAPDH
3.99616769936229e-60	-1.64026150521455	0.789	0.993	3.21331844705722e-56	2	LDHA
4.12678644945846e-60	-2.47917999369486	0.371	0.981	3.31834898400954e-56	2	CCND2
3.67261401779615e-58	3.40734227528615	0.749	0.245	2.95314893170988e-54	2	CXCR4
1.08498154049712e-65	0.692636800560001	1	0.997	8.72433656713736e-62	1	MYL6
1.45864404456033e-57	1.52558123123026	0.962	0.811	1.17289567623096e-53	1	S100A4
6.7175522519377e-56	0.634456080362879	1	1	5.4015837657831e-52	1	CFL1
3.59073719705379e-52	1.43334450310188	0.99	0.873	2.88731178015095e-48	1	LTB
4.91772766269045e-52	0.793917086728535	1	0.983	3.95434481356939e-48	1	SH3BGRL3
4.14550794878831e-47	0.747530547301607	1	0.97	3.33340294162068e-43	1	CD3D
6.78669371724618e-46	-1.05762098731231	0.974	0.96	5.45718041803765e-42	1	NPM1
8.89334047764738e-46	-1.06688815295608	0.965	0.968	7.15113507807626e-42	1	NCL
6.07121905020949e-44	1.30675237256701	0.987	0.828	4.88186723827345e-40	1	RNF213
9.07167711462053e-43	0.725003564361654	1	0.999	7.29453556786637e-39	1	TMSB10
2.69602791820483e-42	0.777234627702971	1	0.986	2.1678760490285e-38	1	IL32
7.60246146775781e-42	0.469805148664743	1	0.999	6.11313926622405e-38	1	PFN1
8.89117706498444e-42	1.08309180975274	0.997	0.925	7.14939547795399e-38	1	S100A6
3.11879147028598e-40	1.24914938934228	0.933	0.66	2.50782022125696e-36	1	GBP5
1.50265755448092e-39	1.6169675112986	0.853	0.468	1.20828693955811e-35	1	SIT1
4.01458312563294e-39	0.680363452772698	1	0.965	3.22812629132145e-35	1	ARHGDIB
4.97110745235358e-39	0.747714531663771	0.997	0.974	3.99726750243751e-35	1	MYL12A
9.46182930726221e-39	-0.693151928721122	0.994	0.991	7.60825694596955e-35	1	RPL35
1.22151317989353e-37	-0.63546780097539	0.997	0.994	9.8221874795239e-34	1	RPS18
1.752785825553e-37	-0.581681623864234	0.997	0.997	1.40941508232717e-33	1	RPL8
