,0,1,2,3,4,5,6,7,8
1,ANXA1,HDAC8,FBL,NA,MRPS27,NA,PYCR3,IMPACT,NA
2,TIMP1,CRY1,RNF220,NA,ZRANB2,NA,OPRM1,DMC1,NA
3,CAPG,C11orf71,AL163051.1,NA,UTP6,NA,MOCS3,DDAH2,NA
4,TNFSF10,FOXO1,GHITM,NA,GTF3C2,NOL11,MRPL22,SKIV2L,TMEM14C
5,CTSH,MEMO1,TWNK,NA,DHX29,NA,MRPL3,CDCA3,NA
6,SOS1,RFTN1,PPP1R14B-AS1,NA,CKAP4,NA,NA,NDUFS2,NA
7,LGALS1,HOXB4,C5orf24,GABARAP,CCDC134,SNHG26,ZDHHC18,ADAL,ATP6V0B
8,MYBL1,BTN2A2,SNRPB,NA,SPIN3,NA,MRPS34,CDKAL1,NA
9,DPP4,ARID1B,CIAPIN1,NA,TUBA1C,NA,SNRPD3,GPR171,LSM3
10,PLAAT4,WDR11,NETO2,NA,SFXN5,NA,NCF2,CALR,NA
11,ALOX5AP,ZFR,PFAS,NA,CFAP298,NA,SLC16A6,FAAP20,NA
12,OSM,RTP4,SETD4,NA,DNAJC19,NA,CDV3,GSR,NA
13,BHLHE40,FAM234A,ARHGEF10,NA,HSPA14.1,NA,SLC1A5,YWHAH,NA
14,GPR171,HOOK3,NDUFAF6,NA,ZMPSTE24,ATP5MC2,NTHL1,FAM9B,TSG101
15,ADAM19,INTS8,AGPS,NA,AC005225.2,NA,YIPF2,GREM2,NA
16,IFI30,PEX1,RRP9,NA,ILF3,NA,ELOC,AC004943.2,NA
17,TPM4,DGKA,PHEX,NA,HMGB1,NA,NA,MAD2L1,NA
18,LMO4,SPEN,ANKS3,NA,MTRES1,NA,NA,LST1,NA
19,GPSM3,ATP8B2,HSPBP1,NA,FASTKD3,NA,SNHG26,USP18,NA
20,CD40LG,PRCC,LINC02613,NA,UNC50,NA,EBI3,PRKDC,PAX8
21,IL4I1,USP34,GGCT,NA,ABRAXAS1,RPL14,AHCYL1,EIF2AK2,REEP5
22,ANXA2,LAMP3,MTERF3,NA,ZNF511,NA,MRPL9,SLC26A4,NA
23,PTGER2,WDR92,ZMIZ1,NA,PHF5A,NA,NA,MMS19,NA
24,TMEM273,PGGT1B,CLPTM1L,NA,ATP8A2,NA,DCTN5,AKR1B1,NA
25,HBEGF,PIP4K2B,PLK3,NA,PHF6,NA,PSMD4,MCMBP,NA
26,S100A4,MTA3,DNAJA3,NA,COA4,NA,NA,CUL7,NA
27,GIMAP7,PIP4P1,ETF1,NA,AFF3,NA,PSMG1,AC009118.2,NA
28,S100A11,KIAA0556,POLR2D,NA,STOML2,NA,LY75,DGCR2,NA
29,PLP2,CMC1,LSM5,NA,ZNF492,NA,PMS2,ARL13B,NA
30,VIM,PCCA,PITPNB,NA,ACO2,NA,WDR77,HIST1H3B,NA
31,CD69,PPP1R18,PSMD11,NA,NFATC1,ZSWIM1,UHRF1BP1L,RUSC1,ITM2A
32,IFITM2,BISPR,BOLA2,NA,SLC6A9,BEX2,TMEM241,PPARA,NOP56
33,IFITM1,SIN3A,TRMT61A,NA,MEST,NA,ILF2,KIAA0100,NA
34,S100A10,SDHAF2,IMP3,NA,MRPS12,NA,SLC35B1,EHBP1L1,NA
35,CORO1A,SETDB1,UQCRQ,NA,PDRG1,NA,SNHG3,AC244197.2,NA
36,LTB,JUNB,HAVCR2,NA,TAF9,G3BP1,UQCRC1,ADGRV1,RSL1D1
37,CLIC1,ATP2B4,PHLDA1,NA,NOXA1,NA,GK,ZDHHC12,HLA-DPA1
38,CYBA,RASSF1,DCAF12,NA,MRPS15,NA,C1orf43,KIF22,NA
39,S100A6,NEPRO,SLAMF6,NA,COQ3,NA,PRPF19,TMEM109,NUBP2
40,MYL12A,NSMAF,RNASEH1,NA,CHAF1B,NA,SFT2D1,AC092617.1,NA
41,RAC2,C1orf131,AC009053.2,N4BP2L2,RBFOX2,OARD1,KCNN4,LAP3,PRKCB
42,MYL12B,RANGRF,SF3B5,NA,SIGMAR1,NA,SNAPC1,GABRR2,NA
43,PPIB,GBP1,GTPBP3,NA,ALG8,NA,C1orf109,ZNF726,NA
44,PSME2,CCR8,ANKRD37,NA,ZFAS1,NA,NSUN3,ITGB7,TATDN1
45,PSME1,AC105446.1,SLC25A26,NA,ANKS6,NA,STRAP,RMDN1,NA
46,SH3BGRL3,RAB35,CSNK2A1,NA,PPID,NA,SNHG17,HIST1H2AG,ERLEC1
47,CALM1,CWF19L1,MNAT1,NA,C1orf109,NA,NA,SIPA1L1,NA
48,MYL6,NEIL2,MSTO1,NA,UBA2,NA,RPS19BP1,MOV10,AKR1B1
49,CFL1,PCID2,ZDHHC5,NA,SNRPD3,NA,BMS1,HERC2,SRI
50,TMSB4X,NUDCD1,IQCB1,NA,C22orf34,B3GNTL1,STX6,ZNF718,ZMAT2
51,ACTB,LINC00963,TAF10,NA,TRNT1,NA,NA,UBXN10-AS1,NA
52,PFN1,CNPY3,AL132996.1,NA,CHRAC1,EBLN3P,RBIS,SNRPA1,SLC9B2
53,TMSB10,ANAPC5,NUP160,MARCH2,THUMPD1,TPI1,URI1,PKP4,ATL1
54,CDKN1A,XRN1,EIF5A,NA,IVD,NA,UTP4,ATOX1,NA
55,ITM2B,VIRMA,SEPTIN11,NA,SSB,CEP41,PCNP,EGLN2,RAD1
56,ARHGAP15,SLFN12,NAXE,NA,TRMT1,NA,HLA-DQA1,AC007384.1,NA
57,HLA-B,VPS28,RPS19BP1,NA,TRBV10-2,DUSP23,TOP1,MAEA,ZNF296
58,LAPTM5,TMEM115,ZNRD2,NA,FANCF,NA,GNG2,SRP9,NA
59,EMP3,UBFD1,CFLAR,NA,CDK8,NA,TXN,CNEP1R1,GZMB
60,TPM3,NXF1,C1orf35,NA,BTF3L4,NA,YDJC,SFXN2,NA
61,HLA-C,PITPNB,SRSF7,NA,HIST1H2AL,NA,HSPA5,CNP,NA
62,GSTK1,CEACAM21,CERS6,NA,GPX7,NA,NA,PITPNC1,NA
63,GLIPR2,CKAP5,CDO1,NA,CAD,NA,AL021155.5,VPS37B,NA
64,B2M,DHRS13,YTHDF3,NA,CAMK1,NA,CBX1,NUP107,NA
65,UPP1,NSMF,NCS1,NA,HAUS2,NA,UFL1-AS1,ALPK1,NA
