,0,1,2,3,4,5,6
1,ALOX5,XCL1,TSHR,AL161772.1,RSPH1,SYNM,GPR141
2,GREM2,PDLIM4,NEIL3,WNK2,LINC02757,AC245033.2,KLRC4
3,UBD,IL3,AL365226.2,HBQ1,LINC01055,SULT1B1,AC011313.1
4,CXCL11,RAI2,SYT4,TPH1,AP000487.1,MIR99AHG,FGFBP2
5,ENPP6,CSF2,PGLYRP4,AL359397.1,AL390294.1,LINC01259,FCGR3A
6,NTN4,IL2,LINC02195,LINC01123,AKR1C1,MMP28,LILRB1
7,RNF165,IL21,PMCH,ADGRA3,AC005062.1,AL034550.2,AC243829.2
8,LYPD5,CCL20,TNFRSF13B,AFF2,NTSR1,ABO,PDGFD
9,LTK,POU2AF1,METTL7A,HES7,AP001189.5,GPA33,CCL3
10,LILRB3,IL31,EPHB1,GALNT18,ARX,C16orf74,S1PR5
