,0,1,2
1,FABP5,AC124248.2,AL365226.2
2,KCNQ5,SLC4A10,AC087741.1
3,CD200,CCR2,LINC02694
4,IRF8,CXCL10,HLA-DQA2
5,IL2,FRMD4A,CEP55
6,LINC01281,IL26,SLC14A1
7,GNG4,CXCL11,FANK1
8,EGR2,LINC002481,FAIM2
9,NPW,CES1,LINC01727
10,ZNF704,ODAPH,MRC1
11,HPDL,ENPP6,CTTNBP2NL
12,ZBED2,FRY,LRG1
13,CCND1,FERMT2,MYO5C
14,SLAMF7,TRIQK,HLA-DPB1
15,LINC01480,GREM2,CCDC141
16,POU2AF1,BCL2L15,XXYLT1-AS2
17,NHS,AC124248.1,TTN
18,IL3,RNF165,AC120193.1
19,CTXN1,AL589693.1,HPGD
20,AC022075.1,UBD,ICA1
21,XCL1,CXCL9,METTL7A
22,KDM4A-AS1,AL133475.1,CLNK
23,CRTAM,HBEGF,CSF2RB
24,CCL4,AC004264.1,LINC02195
25,GAL,TMEM171,AC100793.2
26,TMEM52,RGS9,SYT4
27,ANKRD13B,CLIC3,PGLYRP4
28,KCNK15,TLR3,TOX2
29,GLIS3,ABCA1,EPHB1
30,CCL3,GZMA,SLC4A8
31,CTTN,PLEKHG3,AF165147.1
32,XCL2,FES,SH3RF2
33,ADORA2B,SLC4A4,NEIL3
34,DUPD1,VXN,TMEM244
35,ADGRA3,MAPK10,PMCH
36,CCL22,CAPG,STAC
37,AC112721.2,TMEM200A,AC013652.1
38,GLB1L2,CDKN2B,ZBP1
39,LINC00158,CFH,CD177
40,MT1G,HIF1A-AS1,IL7
41,NCR3LG1,LRRC49,ST8SIA6
42,SPTBN4,NTN4,TNFRSF13B
43,ZNF391,IGHV4-34,SRGAP3
44,EVPLL,WDR86-AS1,HLA-DOA
45,TERT,IL22,MUSTN1
46,PRSS23,LYPD5,WNT2B
47,EOMES,ALOX5,AC232271.3
48,GPC3,HRH4,TSHR
49,CCL4L2,MYBL1,MEOX1
50,AL133353.1,IL15,HLA-DRB5
